SK_ID_CURR,TARGET
100001,0.36003438
100005,0.4021653
100013,0.11881619
100028,0.09114898
100038,0.54822606
100042,0.18189567
100057,0.14315192
100065,0.24837758
100066,0.11490244
100067,0.38406032
100074,0.3109122
100090,0.29165033
100091,0.43984255
100092,0.40616181
100106,0.22445112
100107,0.37790203
100109,0.25861195
100117,0.14223942
100128,0.44897497
100141,0.24005722
100150,0.14213039
100168,0.06975129
100169,0.3100728
100170,0.25848934
100171,0.18623978
100172,0.44897962
100184,0.2725059
100187,0.24473722
100212,0.26837352
100222,0.3477832
100223,0.13567407
100232,0.17934163
100241,0.5149373
100245,0.14508745
100253,0.15068269
100256,0.36033207
100271,0.06678582
100278,0.5431535
100280,0.04472695
100306,0.45103434
100311,0.5664425
100312,0.070832446
100330,0.40971136
100331,0.24216172
100352,0.34173906
100358,0.3467378
100367,0.12960134
100382,0.628316
100384,0.40062764
100385,0.32652786
100386,0.41441914
100399,0.11911023
100404,0.45372576
100416,0.1374493
100422,0.31027824
100426,0.2118704
100438,0.19703746
100444,0.4109523
100445,0.47587797
100446,0.50393945
100447,0.15024768
100450,0.21568789
100466,0.14676678
100483,0.26712802
100484,0.079325125
100494,0.300353
100510,0.5203071
100512,0.10318158
100517,0.11644234
100548,0.18178427
100551,0.17266005
100552,0.39780492
100553,0.07896797
100561,0.38686007
100568,0.76937157
100569,0.22500719
100591,0.2911936
100592,0.0977869
100602,0.3139091
100607,0.19868915
100613,0.24741516
100617,0.60879445
100618,0.30722558
100622,0.23722027
100625,0.46002042
100677,0.49041966
100699,0.19309574
100702,0.8006736
100711,0.34793624
100729,0.43268606
100740,0.4994768
100744,0.41808963
100745,0.24599725
100747,0.33570158
100751,0.7014206
100752,0.28795397
100753,0.5846844
100754,0.5580163
100760,0.13816935
100762,0.30897298
100763,0.36878633
100765,0.100141
100770,0.2850457
100772,0.06509613
100777,0.20035613
100791,0.17254457
100792,0.04610437
100797,0.10986085
100823,0.15797208
100826,0.25727278
100830,0.12065578
100836,0.5443131
100872,0.37867084
100910,0.2928128
100913,0.5159331
100918,0.25743592
100931,0.04091024
100952,0.19619067
100953,0.15355113
100965,0.6569127
100970,0.20931172
100982,0.42853248
100983,0.68128204
100984,0.20729351
100987,0.2303217
100997,0.40576902
100998,0.38138354
101002,0.26931232
101005,0.59075075
101008,0.45141917
101020,0.38635358
101021,0.27953252
101024,0.2772454
101025,0.37225905
101026,0.35433143
101031,0.0779511
101041,0.18878926
101051,0.041738134
101055,0.2551493
101056,0.6917893
101057,0.3220781
101064,0.20864518
101079,0.38754877
101087,0.19199604
101090,0.112190105
101092,0.46712455
101097,0.40958294
101099,0.07740745
101107,0.33985806
101118,0.2952971
101125,0.38162413
101126,0.14264928
101128,0.1241735
101136,0.3528437
101140,0.42497158
101149,0.5023251
101160,0.2612272
101169,0.44839853
101181,0.1769435
101186,0.21225932
101190,0.4445292
101193,0.30709225
101194,0.55400383
101198,0.46052566
101200,0.148314
101204,0.1268773
101211,0.3640459
101213,0.402063
101223,0.23604015
101225,0.42129737
101237,0.42481956
101243,0.37190005
101244,0.5145753
101258,0.18864445
101259,0.5292833
101268,0.4126309
101269,0.097923666
101271,0.45714003
101279,0.2032196
101281,0.41610783
101287,0.14439686
101292,0.1805574
101294,0.16338678
101296,0.31858978
101297,0.18003877
101299,0.32472962
101301,0.3254601
101305,0.43491694
101308,0.47985467
101318,0.0818364
101327,0.62924725
101329,0.11977899
101332,0.19485828
101337,0.29222956
101343,0.027438605
101345,0.10061296
101346,0.08671753
101353,0.1287027
101354,0.4949122
101355,0.51809865
101356,0.1361944
101362,0.3041563
101363,0.63228816
101365,0.099513754
101366,0.40463206
101367,0.5453639
101368,0.00037629358
101374,0.39993975
101380,0.15535162
101383,0.09153438
101398,0.13716549
101399,0.68252
101401,0.5267975
101412,0.43560356
101426,0.18729492
101427,0.7994649
101428,0.42127833
101429,0.33088437
101434,0.16177988
101440,0.27705616
101448,0.32850978
101449,0.2800452
101465,0.22971289
101467,0.10128691
101472,0.29953295
101478,0.398014
101497,0.25889802
101504,0.37248704
101547,0.20267673
101548,0.37031627
101555,0.47153226
101570,0.15930545
101572,0.31720033
101578,0.27433914
101580,0.5907105
101588,0.49428108
101602,0.14706585
101610,0.46590266
101614,0.23680861
101616,0.22932951
101643,0.37364182
101644,0.17628278
101649,0.38509238
101650,0.31040394
101665,0.09913571
101667,0.423921
101669,0.26167735
101674,0.4142741
101675,0.10636837
101678,0.4636237
101682,0.393627
101686,0.28347978
101697,0.48334038
101700,0.74821496
101711,0.16868101
101714,0.15374133
101715,0.6478362
101728,0.22523648
101732,0.23783933
101757,0.37877056
101758,0.17250228
101759,0.3095402
101762,0.107341975
101764,0.21857972
101780,0.6591456
101784,-0.00067668385
101789,0.03932002
101816,0.3074281
101819,0.17533922
101827,0.002740683
101863,0.36420995
101867,0.3285456
101870,0.043205645
101873,0.54127985
101878,0.49697563
101879,0.15504594
101880,0.10128855
101887,0.17534223
101897,0.11629883
101901,0.44382104
101903,0.6371707
101920,0.04728097
101921,0.26887348
101922,0.24931628
101961,0.3444585
101962,0.15485959
101971,0.18212841
101976,0.55487806
102002,0.36830908
102005,0.17463319
102007,0.69185334
102017,0.111926496
102019,0.5461956
102029,0.061147965
102051,0.6106434
102052,0.0015773503
102054,0.096353576
102062,0.181791
102067,0.4231877
102068,0.24987079
102070,0.3253408
102090,0.37248313
102092,0.31898752
102099,0.39158487
102100,0.24944396
102112,0.3181873
102113,0.25127187
102122,0.56759787
102123,0.29799
102125,0.19198677
102126,0.46631524
102146,0.35300422
102147,0.34724152
102151,0.2461534
102158,0.58721393
102159,0.16254772
102162,0.48016948
102165,0.21924101
102166,0.16284822
102174,0.13324043
102193,0.52407324
102198,0.10037314
102205,0.34623632
102206,0.02141589
102218,0.13667235
102221,0.22106703
102230,0.23639281
102238,0.40744165
102248,0.29353845
102252,0.6018611
102259,0.27473816
102262,0.48527038
102273,0.18028878
102286,0.4661874
102293,0.16577497
102294,0.21110407
102296,0.28605497
102298,0.30357215
102303,0.15829806
102309,0.22295198
102315,0.25912184
102340,0.14240465
102342,0.3319137
102344,0.23829703
102346,0.30680904
102347,0.105216965
102374,0.2246197
102380,0.15941736
102387,0.18869913
102393,0.2525961
102403,0.104912646
102413,0.119045846
102414,0.04228739
102415,0.16155355
102416,0.3821671
102439,0.28787363
102441,0.13368359
102443,0.12198375
102444,0.3768486
102445,0.4840826
102448,0.29033142
102449,0.3239045
102450,0.47278455
102456,0.28737253
102458,0.50434047
102459,0.19428764
102465,0.06951442
102470,0.6083389
102471,0.34275335
102475,0.24066529
102476,0.40273598
102506,0.28583696
102509,0.2769483
102519,0.16484238
102522,0.24679449
102545,0.14064027
102549,0.23207776
102562,0.076853074
102563,0.11246457
102568,0.41461968
102582,0.3540671
102592,0.17113927
102597,0.47741827
102605,0.14827214
102614,0.09962892
102617,0.39542705
102634,0.42755544
102652,0.088448614
102655,-0.013267828
102671,0.37304795
102694,0.5525485
102701,0.23358682
102703,0.09978572
102704,0.08231001
102713,0.102769285
102720,0.5779087
102731,0.23865606
102733,0.2522763
102749,0.16371155
102755,0.19678012
102763,0.16767406
102770,0.21858886
102772,0.4113951
102799,0.59260106
102838,0.15535004
102854,0.17484383
102862,0.36294466
102863,0.15229309
102867,0.07214131
102868,0.0048046424
102878,0.36912596
102887,0.29175958
102898,0.6142869
102904,0.30135518
102912,0.27305084
102919,0.09650094
102927,0.31128067
102932,0.23817793
102933,0.32336724
102935,0.13396724
102958,0.3580302
102969,0.44220546
102971,0.12837346
102975,0.2404181
102979,0.31408522
102982,0.10712832
102987,0.5266703
102989,0.30238882
102995,0.25621006
102996,0.14194646
103000,0.1943455
103001,0.3300777
103004,0.3000385
103010,0.083350085
103025,0.5271669
103029,0.34562054
103046,0.36522412
103056,0.21786076
103062,0.37063304
103078,0.06885225
103083,0.10798029
103092,0.3078967
103096,0.28378317
103097,0.63620937
103102,0.45168054
103112,0.23101862
103132,0.2157485
103144,0.41020578
103145,0.4149263
103146,0.14111987
103147,0.3070041
103158,0.083114505
103171,0.30493924
103173,0.16982588
103184,0.27660292
103195,0.5671878
103196,0.18903552
103206,0.16493447
103230,0.49332446
103231,0.60470587
103232,0.23175636
103239,0.44061708
103240,0.41484344
103243,0.18648128
103252,0.3730393
103258,0.11899072
103259,0.5683886
103279,0.11592885
103280,0.029926762
103286,0.09363346
103287,0.7413542
103290,0.15149872
103298,0.20713075
103315,0.087579645
103319,0.1872562
103334,0.40207767
103336,0.30583814
103345,0.17600533
103368,0.14782995
103371,0.53239816
103377,0.3180066
103398,0.13111898
103404,0.25637874
103408,0.5846727
103410,0.36601135
103418,0.15193318
103420,0.6537701
103432,0.29473382
103433,0.1312609
103436,0.19604793
103440,0.20241867
103453,0.32521597
103459,0.16430296
103460,0.12503274
103461,0.09905834
103462,0.32020074
103473,0.4228086
103474,0.12676997
103475,0.5059573
103478,0.53526306
103480,0.42308104
103484,0.1836868
103494,0.37047267
103513,0.2661633
103515,0.23879522
103516,0.5149879
103525,0.4121423
103541,0.54543257
103544,0.059562646
103562,0.6671768
103570,0.7378543
103572,0.40431643
103574,0.12995082
103575,0.3086461
103591,0.42371464
103594,0.19766037
103609,0.2427671
103613,0.3013753
103614,0.14223678
103615,0.27154642
103624,0.2764816
103625,0.6451877
103628,0.5216671
103629,0.18016683
103647,0.18532082
103648,0.27509755
103651,0.2968695
103658,0.14419943
103668,0.30602786
103669,0.10825117
